MANUFACTURE,BRAND,ITEMDESC,QTY,UNIT,PACKSIZE,PACKTYPE
SANJEEWAKA AYURVEDIC PRODUCTS,CHANDANALEPA,CHANDANALEPA/75/GM/CDBOX/VENIVEL AYURVEDA SOAP ,75,GM,75GM,CDBOX
HEMAS MARKETING,BABY CHERAMY,"BABY CHERAMY/75/GM/CDBOX/ALMOND OIL, VITAMIN E & MILK BABY SOAP BUY 5 SAVE AS 45 RS",375,GM,375GM,CDBOX
HAYLEYS CONSUMER PRODUCTS LTD,WHISPER,WHISPER/15/NO/PLPCH/ULTRA CLEAN XL 3 SMART LAYERS BUY 2 GET 1 FREE,15,NO,15NO,PLPCH
PRIMELINE INDUSTRIES (PVT) LTD,SO SOFT,SO SOFT/10/NO/PLPCH/COTTON FEEL WINGS SANITARY NAPKINS,10,NO,10NO,PLPCH
SANJEEWAKA AYURVEDIC PRODUCTS,CHANDANALEPA,CHANDANALEPA/75/GM/CDBOX/KOHOMBA AYURVEDA SOAP,75,GM,75GM,CDBOX
COCA-COLA BEVERAGES,FANTA ORANGE,FANTA ORANGE/1500/ML/PBT/SAVE RS. 40/=,1500,ML,1500ML,PBT
JS PRODUCTS,PRITE ,PRITE/330/ML/PBT,330,ML,330ML ,PBT
NESTLE LANKA,MAGGI,MAGGI/75/G/PLPCH/PAPARE BLAST,10000,10000,75/G,PLPCH 
CEYLON COLD STORES,VIBE,ELEPHANT/VIBE/250/ML/CAN/KIWI BURST,250,ML,250ML ,CAN
CEYLON COLD STORES,VIBE,ELEPHANT/VIBE/250/ML/CAN/ORANGE BURST,250,ML,250ML ,CAN
CEYLON COLD STORES,VIBE,ELEPHANT/VIBE/250/ML/CAN/GRAPE BURST,250,ML,250ML ,CAN
CEYLON CONFECTIONERY WORKS PVT LTD,VONKA,VONKA (CEYLON CONFECTIONERY)CHOCO MAGIC/45/GM/EWRP,45,GM,45GM,EWRP
NESTLE LANKA,MAGGI HOT,MAGGI/75/GM/PLPCH/PAPARE BLAST,75,GM,75GM ,PLPCH 
NESTLE LANKA,MAGGI,MAGGI/75/GM/PLPCH/PAPARE BLAST INSTANT NOODLES ,10000,10000,75 GM,PLPCH
CEYLON BISCUITS LIMITED,MUNCHEE ,MUNCHEE/490/GM/PLPCH/SUPER CREAM CRACKER + SAVE 60,10000,10000,490 GM,PLPCH 
DG PRODUCTS,D&G,D&G/50/GM/PLPCH/CHILLI PIECES,10000,10000,50 GM,PLPCH 
MALIBAN BISCUIT MANUFACTORIES,MALIBAN,MALIBAN/490/GM/PLPCH/CREAM CRACKER + SAVE 60,10000,10000,490 GM,PLPCH 
COUNTRY STYLE FOODS,SMAK,SMAK APEMA KAHATA TEA 200,200,GM,200GM,PLPCH
RECKITT BENCKISER (LANKA) LTD,HARPIC ,HARPIC POWER PLUS 10/10 STAIN REMOVAL ORIGINAL 500ML FREE DIVA FRESH 3 IN 1 ROSE & LIME DETERGENT POWDER 200GM,500,ML,500ML,PLBOT
UNILEVER SRI LANKA LTD,PEARS ,PEARS BABY PURE & GENTLE CHOOTY PACK BABY SOAP WITH OLIVE OIL & MOIST. CREAM/ FREE PEARS BABY PURE & GENTLE CHOOTY PACK BABY SOAP WITH OLIVE OIL & MOIST.CREAM 140GM ,140,GM,140GM,CDBOX
CBL FOODS INTERNATIONAL( PVT)LTD,MUNCHEE ,MUNCHEE KOME BITES SWEET MASALA FLAVOUR 15GM,10000,10000,SWEET MASALA ,PLPCH
CBL FOODS INTERNATIONAL( PVT)LTD,MUNCHEE ,MUNCHEE KOME BITES CHEESE CHILLI FLAVOUR 15GM,15,GM,15GM,PLPCH
HEMAS PHARMACEUTICALS (PVT) LTD,SUSTAGEN,SUSTAGEN/NUTRITIONAL/SUPPLEMENT/VANILLA/400 GM/TIN/FREE/LIPTON/YELLOW LABEL/BLACK TEA/20 TEA/BAGS/40 GM/CDBOX,10000,10000,400 GM,TIN
HEMAS PHARMACEUTICALS (PVT) LTD,SUSTAGEN,SUSTAGEN/NUTRITIONAL/SUPPLEMENT/CHOCOLATE/400 GM/FREE/LIPTON/YELLOW LABEL/BLACK TEA/20 TEA/BAGS/40 GM/TIN,10000,10000,400 GM,TIN
SISILRO BEVERAGES (PVT) LTD,RISTA,RISTA/5ML/PET/DRINKING WOTAR,5,ML,5ML,PET
ICL MARKETING,EVA,EVA /STAR /8PAD /POCH PACK /DRITEX WINGS,10000,10000,08,POCH 
CEYLON BISCUITS LIMITED,MUNCHEE SUPER CREAM CRACKER,MUNCHEE /490G/POCH PACK /SUPER CREAM CRACKER /60 PRICE OFF,490,GM,490G,POCH 
RECKITT BENCKISER (LANKA) LTD,HARPIC,HARPIC/500ML/PET/ORIGINAL /FREE DIVA ROSE 200G,500,ML,500ML,PET
CHERISH BISCUIT (PVT) LTD,CHERISH KIT-O,CHERISH/50/G/PLPCH/KIT-O CREAM BISCUT STRAWBERRY FLAVOURED,50,GM,50G,PLPCH
SUNRICH CONFECTIONERY (PVT) LTD,SUN RICH MILK CRUNCH,SUN RICH/315/G/PLPCH/MILK CRUNCH,315,GM,315G,PLPCH
ROYAL PRODUCTS,ROYAL,ROYAL GAMBOGE CREAM 100 GM ,10000,10000,100 GM,PLCUP 
THE CEYLON SPICE HOUSE HOLDINGS,MIHIKATHA,MIHIKATHA/100/ML/PLPCH/JAFFNA CURRY POWDER ,100,GM,100GM ,PLPCH 
WONRICH DAIRY PVT LTD,WONRICH,WONRICH/75/GM/PLCUP/SET YOGHURT ,75,GM,75GM ,PLCUP 
MY COOL LANKA PVT LTD,MY COOL FRUTO,MY COOL FRUTO/185/ML/PLCUP/GRAPE FLAVOURED DRINK,185,ML,185ML,PLCUP
CHERISH BISCUIT (PVT) LTD,CHERISH CREAM WAFERS,CHERISH/30/GM/PLPCH/LEMON CREAM WAFERS,30,GM,30G,PLPCH
MALIBAN BISCUIT MANUFACTORIES,MALIBAN CREAM CRACKER FAMILY PAC,MALIBAN/CREAM CRACKER FAMILY PAC/490/G/PLPCH/SAVE RS 60,10000,10000,490,PLPCH
CARGILLS QUALITY DAIRIES (PVT) LTD,KIST NIYAMA CREAM CRACKER,KIST/500/G/PLPCH/NIYAMA CREAM CRACKER SAVE RS 60,500,GM,500G,PLPCH
PELWATTE DAIRY INDUSTRIES (PVT) LTD,PELWATTE,PELWATTE/200/G/PLPCH/FULL CREAM MILK POWDER,200,GM,200G,PLPCH
DELMAR LANKA PVT LTD,DELMALIGHT,DELMALIGHT/115×2/G/EWRPK/LIME FRESH SAVE RS 30,230,GM,230G,EWRPK
RECKITT BENCKISER (LANKA) LTD,HARPIC,HARPIC/500ML/PLBOT/POWER PLUS 10X ADVANCED ORIGINAL+FREE DIVA FRESH 200G,500,ML,500ML,PLBOT
SUNSHINE COUNSUMER LANKA LTD,ZESTA,ZESTA/390G/TIN/PREMIUM BOPF FREE TIN CADDY,390,GM,390G,TIN
CROWN GRINDING MILLS,CROWN,CROWN/250/GM/CURRY POWDER,10000,10000,250 GM,PLPCH
CROWN GRINDING MILLS,CROWN,CROWN/250/GM/CHILLI POWDER,10000,10000,250 GM,PLPCH
MALIBAN BISCUIT MANUFACTORIES,MALIBAN REAL CHOCOLATE CREAM,MALIBAN/315/GM/PLPCH/REAL CHOCOLATE CREAM BISCUIT HANDY PACK ,10000,10000,315,PLPCH 
SUNIL INDUSTRIES ,GOVIYA ,GOVIYA \400\G\EWRPK \WASHING SOAP SAVE R.S 40,400,GM,400G,EWRPK 
ROYAL DAIRY LANKA (PVT) LTD,ROYAL,ROYAL\80\ML\PL CUP\JELLY YOGHURT ,80,ML,80ML,PL CUP
HEMAS MARKETING,DIVA FRESH,DIVA/FRESH/3 IN 1/GARDENIA & ROSE/1000 KG/SAVE RS.50/=/PLPCH,10000,10000,1000 GM,PLPCH
JAT HOLDINGS,JAT ,JAT/5/L/TIN/WOOD COATING SOLUTIONS ,10000,10000,5 L,TIN
CEYLON BISCUITS LIMITED,WILLIAMS TRENDY WAFERS VANILLA ,WILLIAMS TRENDY/72/GM/PLPCH/WAFERS VANILLA FLAVOURD ,10000,10000,72 GM,PLPCH 
DARLEY BUTLER,SUNNY,SUNNY/50/GM/PLPCH/ORANGE AND ROSE FRESH WITH ALOE VERA ,10000,10000,50 GM,PLPCH 
DARLEY BUTLER,SUNNY,SUNNY/50/G/EWRPK/NO-1/ORANGE & ROSE FRESH  WITH ALOEVERA,50,GM,50G,EWRPK 
NESTLE LANKA,MAGGI,MAGGI/75/G/NO-1/EWRPK/ PAPARE BLAST,75,GM,75G,EWRPK 
NESTLE LANKA,MAGGI,MAGGI/75/GM/PLPCH/PAPARE BLAST,75,GM,75GM,PLPCH
NARAH STATIONERS,TEN,TEN/80/PGS/BOOK/MY NOTES A6,10000,10000,80 PGS,BOOK
GAMI RASA FOOD PRODUCTS,GAMI RAHASA,GAMI RAHASA POLOS SOYA MEAT 50GM,50,GM,50GM,PLPCH
GAMAGE PRODUCTS,GAMAGE ,GAMAGE TURMERIC POWDER 25GM,25,GM,25GM,PLPCH
UNILEVER SRI LANKA LTD,PEARS BABY,PEARS BABY PURE & GENTLE BABY SOAP WITH OLIVE OIL & MOISTURE CREAM 90GM,90,GM,90GM,CDBOX
DUMINDU INDUSTRIES AND PRINTERS PVT LTD,WRITE,WRITE CR/40 PAGES/1NO,10000,10000,40 PAGES,1NO
CEYLON BISCUITS LIMITED,MUNCHEE SUPER CREAM CRACKER,MUNCHEE/490/GM/SUPER CREAM CRACKER ENRICHED WITH VITAMINS + PRICE OFF RS 60,10000,10000,490 GM ,PL POUCH
CHIRAN INDUSTRIES (PVT) LTD,NANO,NANO/5000/ML/PLBT/BOTTLED DRINKING WATER,5000,ML,5000ML,PLBT
SAL HERBALS PRODUCTS ,SAL,SAL/600/ML/PLBOT/NATURAL ALOE VERA DETERGENT LIQUID,10000,10000,600 ML,PLBOT 
DIAMOND BEST FOODS (PVT) LTD,ZARA,ZARA/18/GM/PLPCH/DAILY 2 IN 1 MILK POWDER BLEND WITH ADDED SUGAR,10000,10000,18 GM,PLPCH 
CEYLON BISCUITS LIMITED,MUNCHEE,MUNCHEE/15/GM/PLPCH/KOME RICE CRACER BITES SWEET MASALA FLOVOUR,10000,10000,15 GM,PLPCH 
MALIBAN BISCUIT MANUFACTORIES,MALIBAN,MALIBAN/315/GM/PLPCH/REAL CHOCOLATE CREAM BISCUIT HANDY PACK,10000,10000,315 GM,PLPCH 
MALIBAN BISCUIT MANUFACTORIES,MALIBAN,MALIBAN/85/GM/PLPCH/YOYO CHOCO CREAM,10000,10000,85 GM,PLPCH 
LAKGALA PRODUCTS,LAKGALA,LAKGALA/50/GM/PLPCH/CURRY POWDER ,10000,10000,50 GM,PLPCH 
RAJAGALA LANKA HOLDINGS (PVT) LTD,RAJAGALA,RAJAGALA/100/GM/PLPCH/CUTLFISH SOYA MEAT,100,GM,100GM,PLPCH
RAJAGALA LANKA HOLDINGS (PVT) LTD,RAJAGALA,RAJAGALA/100/GM/PLPCH/PRAWNS SOYA MEAT,100,GM,100GM,PLPCH
SISILRO BEVERAGES (PVT) LTD,RISTA,RISTA/5ML/PET/DRINKING WOTAR,5,ML,5ML,PET
RUHUNULAND MARKETING,RUHUNULAND,RUHUNULAND/50G/POCH PACK /CHILE PIECE ,50,GM,50G,POCH 
MALIBAN BISCUIT MANUFACTORIES,MALIBAN ,MALIBAN/490/G/PLPCH/CREAM CRACKER SAVE 60,490,GM,490G,PLPCH 
NESTLE LANKA,MAGGI,MAGGI/75/G/PLPCH/ PAPAER BLAST  INSTANT NOODLES ,75,GM,75G,PLPCH 
BRINTA ENTERPRISES (PVT) LTD,BRINTA,BRINTA/50/GM/PLPCH/JAFFNA CURRY POWDER,50,GM,50G,PLPCH
JAT HOLDINGS,SAYERLACK,SAYERLACK WB SELF SEALER FOR INTERIOR GLOSS - 40%/1LTR/PLCAN ,10000,10000,1 LTR,PLCAN
CEYLON BISCUITS LIMITED,MUNCHEE SUPER CREAM CRACKER,MUNCHEE/490/GM/SUPER CREAM CRACKER ENRICHED WITH VITAMINS + PRICE OFF RS 60,10000,10000,490 GM ,PL POUCH
HEMAS MARKETING,DIVA DIRIYA,DIVA/500/GM/PLPCH/DIRIYA/DIRT LIFE TECHNOLOGY/DETERGENT POWDER ,10000,10000,500 GM ,PLPCH 
NATURE'S BEAUTY CREATIONS LTD,PANDA BABY ,PANDA BABY/50/ML/PLBOT/SHAMPOO/WITH NELLI AND NEEM,10000,10000,50 ML,PLBOT
RECKITT BENCKISER (LANKA) LTD,HARPIC,HARPIC/500/ML/PLBOT/ORIGINAL/FREE DIVA ROSE &LIME DETERGENT POWDER 200G,500,ML,500ML,PLBOT
UPALI CONSUMER PRODUCTS,SANTOOR,SANTOOR/300/GM/EWRPK/SANDAL & TURMERIC (100G*3) SAVE RS55/=,300,GM,300GM,EWRPK
DARLEY BUTLER & CO.LIMITED ,SUNNY,SUNNY ORANGE & ROSE FRESH WITH ALOE VERA LAUNDRY DETERGENT POWDER 50GM,50,GM,50GM,PLPCH
JANRICH FOODS LTD,KELLS,KELLS SOYA SAUCE 650ML,650,ML,650ML,PLBOT
UNILEVER SRI LANKA LTD,PEARS ,PEARS BABY PURE & GENTLE CHOOTY PACK BABY SOAP WITH OLIVE OIL & MOIST. CREAM/ FREE PEARS BABY PURE & GENTLE CHOOTY PACK BABY SOAP WITH OLIVE OIL & MOIST.CREAM 140GM ,140,GM,140GM,CDBOX
NIPPON PAINT LANKA (PVT) LTD,NIPPON PAINT BREEZE,"NIPPON/1/L/PL CANISTER/BREEZE,3 IN 1 WATERPROOFING PAINT, COLOUR ",1,LTR,1LTR,PL CANISTER 
CEYLON CONSUMER CARE INDUSTRIES,CLOREX ,CLOREX/50/ML/PBT/NO-1/DEEP ACTION POWER ORIGINAL ,500,ML,500ML ,PBT
CHOICE FOODS HOLDINGS PVT LTD,CHOICE FOOD ,CHOICE FOOD/20/G/EWRPK/NO-1/GARAM MASALA,20,GM,20G,EWRPK 
CHOICE FOODS HOLDINGS PVT LTD,CHOICE FOOD ,CHOICE FOOD/45/G/EWRPK/NO-1/BBQ MIX,45,GM,45G,EWRPK
HEMAS MARKETING,DIVA DIRIYA,DIVA DIRIYA/1KG/PLPCH/DIRT LIFT TECHNOLOGY DETERGENT POWDER ,1,KG,1KG,PLPCH 
CEYLON BISCUITS LIMITED,MUNCHEE KOME,MUNCHEE KOME/15G  /PLPCH/SWEET MASALA FLAVOUR BITES ,15,GM,15G,PLPCH 
MINARA FOODS (PVT) LTD,MINARA,MINARA/5000/GM/PLPCH/ SPECIAL NOODLES ,10000,10000,5000 GM,PLPCH 
TRADEX INDUSTRIAL PARK,OMIL,OMIL/100/GM/CDBOX/OMIL KOHOMBA SOAP WITH COCONUT AND NEEM OIL,100,GM,100GM,CDBOX
DIAMOND BEST FOOD (PVT) LTD,JOYFUL,JOYFUL/50/GM/PLPCH/SEAFOOD FLAVOUR ,50,GM,50GM,PLPCH 
SUNSHINE COUNSUMER LANKA LTD,DAINTEE X-TRA,DAINTEE X-TRA/3/GM/1/NO/FRESH CENTERE FILLED BUBBLE GUM STRAWBERRY ,3,GM,3GM,10000
DIAMOND BEST FOOD (PVT) LTD,JOYFUL,JOYFUL/50/GM/PLPCH/CHICKEN FLAVOUR ,50,GM,50GM,PLPCH 
DIAMOND BEST FOOD (PVT) LTD,JOYFUL,JOYFUL/50/GM/PLPCH/CURRY FLAVOUR ,50,GM,50GM,PLPCH 
NESTLE LANKA,MAGGI,MAGGI / 75 / GM / PLPCH / PAPARE BLAST,10000,10000,75 GM,PLPCH
DUMINDU INDUSTRIES AND PRINTERS PVT LTD,WRITE,WRITE/40/CR/PAGES/ CR BOOK,40,PAGES,40PAGES,BOOK
ICL MARKETING,EVA,EVA /STAR /8PAD /POCH PACK /DRITEX WINGS,10000,10000,08,POCH 
ICL MARKETING,REBECCA LEE BABY,REBECALEE/70G*5/CD BOX/CASSIC /SAVE 50/=,70,GM,70G*5,CD BOX
STAR KING,STAR KING,STAR KING / 60 / ML / PLBOT / CLORAEX,10000,10000,60 ML,PLBOT
NESTLE LANKA,MAGGI,MAGGI / 75 / GM / PLPCH / PAPARE BLAST,10000,10000,75 GM,PLPCH
CBL FOODS INTERNATIONAL (PVT)LTD,RITZBURY CHOCO-LA,RITZBURY/25G/PLPCH/CHOCO- LA MILK CHOCO,25,GM,25G,PLPCH
CEYLON BISCUITS LIMITED,MUNCHEE SUPER CREAM CRACKER,MUNCHEE /490G/POCH PACK /SUPER CREAM CRACKER /60 PRICE OFF,490,GM,490G,POCH 
IMPORTED,ROKAF,"ROKAF/1NO/ POUCH/ 9"" PAINT ROLLER",1,NO,1NO,POUCH
STAR PAINT INDUSTRIES,STARLAC,STARLAC/ 200ML/ TIN/ VARNISH,200,ML,200ML,TIN
MALIBAN BISCUIT MANUFACTORIES,MALIBAN CREAM CRACKER FAMILY PAC,MALIBAN/CREAM CRACKER FAMILY PAC/490/G/PLPCH/SAVE RS 60,10000,10000,490,PLPCH
CEYLON BISCUITS LIMITED,TIARA ,TIARA/310/GM/CD BOX/PINEAPPLE FLAVOURED SPONGE LAYER CACK,310,GM,310GM,CD BOX 
CEYLON BISCUITS LIMITED,TIARA ,TIARA/310/GM/CD BOX/PINEAPPLE FLAVOURED SPONGE LAYER CACK,310,GM,310GM,CD BOX 
LAKSIRI ENTERPRISES,LAKSIRI,LAKSIRI /400/GM/PLPCH/ NOODLES,400,GM,400GM,PLPCH
HEMAS MARKETING,FEMS,FEMS/2/NO/PLPCH/COTTON FEEL WINGS FIT TO BODY/15/- SAVE,2,NO,2NO,PLPCH
NESTLE LANKA,MAGGI,MAGGI/75/G/PLPCH/PAPARE BLAST INSTANT NOODLES,75,GM,75G,PLPCH
ICL MARKETING,EVA,EVA/8/NO/STAR DRITEX WINGS SECURE FIT,10000,10000,8 NO,10000
CARGILLS FOOD & BEVERAGE LIMITED ,KIST ,KIST/250/ML/TIN/SPARKLING/ORANGE FLAVOURED DRINK ,10000,10000,250 ML,TIN
CARGILLS FOOD & BEVERAGE LIMITED ,KIST ,KIST/250/ML/TIN/SPARKLING/STRAWBERRY FLAVOURED DRINK ,10000,10000,250 ML,TIN
SWADESHI INDUSTRIAL WORKS LTD,KHOMBA ,KHOMBA/50/ML/CDBOX/KOHOMBA AND VENIVEL BABY COLOGNE,10000,10000,50 ML,CDBOX 
MAHAWELI HOLDING (PVT) LTD,MAHAWELI NC THINNER,MAHAWELI SPECIAL/1000/ML/PLCAN/NC THINNER ,1000,ML,1000ML,PLCAN
MAHAWELI HOLDING (PVT) LTD,MAHAWELI NC THINNER,MAHAWELI SPECIAL/2000/ML/PLCAN/NC THINNER ,2000,ML,2000ML,PLCAN
NESTLE LANKA,MAGGI,MAGGI/75/G/PLPCH/PAPARE BLAST INSTANT NOODLES ,75,GM,75G,PLPCH 
MAAM BISCUITS LANKA (PVT) LTD,MALIBAN ,MALIBAN/490/G/PLPCH/CREAM CRACKER FAMILY PACK SEASONAL OFFER R.S.60,490,GM,490G,PLPCH 
UNILEVER SRI LANKA LTD,FAIR & LOVELY,FAIR/&/LOVELY/IS NOW/GLOW & LOVELY/POWDER/FINISH/CREAM/WITH MULTI VITAMINES/BRICHTENINC/POWDER/25 GM/CDBOX,10000,10000,25 GM,CDBOX
UNILEVER SRI LANKA LTD,FAIR & LOVELY,FAIR/&/LOVELY/IS NOW/GLOW & LOVELY/POWDER/FINISH/CREAM/WITH MULTI VITAMINES/BRICHTENINC/POWDER/50 GM/CDBOX,10000,10000,50 GM,CDBOX
UNILEVER SRI LANKA LTD,PEARS BABY,PEARS BABY/350G(70G*5)/CDBOX/ACTIVE FLORAL FREE PEARS BABY BED TIME CHOOTY PACK 70G SAVE RS 45.00,350,GM,350G(70*5),CDBOX
NESTLE LANKA,MAGGI,MAGGI/75G/PLPCH/PAPARE BLAST INSTANT NOODLES ,75,GM,75G,PLPCH 
CEYLON COLD STORES,VIBE,VIBE/ 250ML/ GRAPE BURST / CAN,250,ML,250ML ,CAN
CEYLON COLD STORES,VIBE,VIBE/ 250ML/ KIWI BURST / CAN,250,ML,250ML ,CAN
CEYLON COLD STORES,VIBE,VIBE/ 250ML/ APPLE BURST / CAN,250,ML,250ML ,CAN
CEYLON COLD STORES,VIBE,VIBE / ORANGE BURST /250ML/ CAN,250,ML,250ML ,CAN
ALOIS ENTERPRISES ,ALOIS,ALOIS\750\ML\GBT\SUPER HIGH GLOSS NC THINNER ,750,ML,750ML,GBT
ALOIS ENTERPRISES ,ALOIS,ALOIS\2\L\PL CAN\WOOD PRESERVATIVE CLEAR ,2,LTR,2L,PL CAN
ALOIS ENTERPRISES ,ALOIS,ALOIS\180\ML\GBT\SUPER HIGH GLOSS NC THINNER ,180,ML,180ML,GBT
RECKITT BENCKISER (LANKA) LTD,HARPIC,HARPIC/500/ML/PBT/NO-1/POWER PLUS 10X ORIGNAL/FREE DIVA ROS3 & LIME,500,ML,500ML,PBT
CAVINKARE PRIVATE LIMITED,MEERA,MEERA/80/ML/PLBOT/HAIR FALL CARE SHAMPOO/SHIKAKAI & BADAM,10000,10000,80 ML ,PLBOT 
USWATTE GOLDEN BISCUITS PVT LTD,USWATTE WAFERS,USWATTE/200/GM/PLPCH/KRISPIES VANILLA WAFERS ,200,GM,200GM ,PLPCH 
USWATTE GOLDEN BISCUITS PVT LTD,USWATTE WAFERS,USWATTE/200/GM/PLPCH/KRISPIES CHOCOLATE WAFERS/USWATTE GOLDEN BISCUITS ,200,GM,200GM ,PLPCH 
USWATTE GOLDEN BISCUITS PVT LTD,USWATTE WAFERS,USWATTE/200/GM/PLPCH / STRAWBERRY WAFERS ,200,GM,200GM ,PLPCH 
